Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9tdGY6MjAxNTk1MzI1NDI2OTg6OjA6Og&url=%2FEUME-Tourismo-Backpack-Resistance-15-6-inch%2Fdp%2FB0B4JNV37M%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A,"₹2,499",4.4,7
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODAzMjM1Mzg2NDAxMTI6MTY5MDM4MDM1NjpzcF9tdGY6MzAwMDA2NzQ5Mjc0ODMyOjowOjo&url=%2FWALKENT-Stylish-Utility-Pockets-Swank%2Fdp%2FB0C7KPTKKS%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1690380356%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,N/A,"₹2,490",5.0,1
https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-29,N/A,"₹1,279",4.4,"16,985"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-30,N/A,₹899,3.9,977
https://www.amazon.in/Safari-Overnighter-Resistant-Polyester-Travelling/dp/B097JK3X9D/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-31,N/A,"₹1,799",4.3,230
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-32,N/A,₹399,3.8,142
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-33,N/A,₹389,4.1,"9,497"
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-34,N/A,"₹1,439",4.5,"4,046"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-35,N/A,₹899,4.0,717
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690380356&sprefix=ba%2Caps%2C283&sr=8-36,N/A,₹839,4.0,"13,810"
